Image_Name,MSGGGF_0,MSGGGF_1,MSGGGF_2,MSGGGF_3,MSGGGF_4,MSGGGF_5,MSGGGF_6,MSGGGF_7,MSGGGF_8,MSGGGF_9,MSESGF,MSFDMAF,MSSSF,MSSAMF,Class
0003ML0000000210100041E01_DRCL.JPG,50921,11215,1800,518,203,125,121,388,98,29,1304,1072.606587381644,15418107.595204066,4059609393.381349,2
0003ML0000000210100041I01_DRCL.JPG,62370,1780,200,191,66,80,113,147,97,131,533,578.9061335793175,17250445.09894661,1245166216.1647692,2
0003ML0000000220100042E01_DRCL.JPG,47018,13974,2551,810,335,122,196,325,63,31,1711,1101.34495111847,15406748.509266388,4196281575.7355137,2
0003ML0000000220100042I01_DRCL.JPG,60297,3636,459,171,57,50,133,113,119,146,741,600.0191161463076,17070336.81511751,1332997278.2497957,2
0003ML0000000230100043E01_DRCL.JPG,49097,12242,2163,888,314,168,278,178,70,57,1836,1069.1266753828872,15035873.473802447,4017629516.676281,2
0003ML0000000230100043I01_DRCL.JPG,60062,3439,914,120,57,88,109,169,152,59,859,597.39249304314,16694297.76945131,1339695838.8999815,2
0003ML0000000240100044E01_DRCL.JPG,52481,9923,1463,575,304,224,287,110,50,50,1438,973.8436645650676,15146284.936350249,3532826689.2697487,2
0003ML0000000240100044I01_DRCL.JPG,61324,2228,799,186,60,73,130,140,166,71,778,571.7626505185283,16854413.121389717,1260665936.0430164,2
0003ML0000000250100045E01_DRCL.JPG,52499,9721,1570,551,313,329,300,96,63,41,1352,966.9098400890188,15553018.21108102,3496390223.4880257,2
0003ML0000000250100045I01_DRCL.JPG,61237,2228,735,341,82,64,116,161,175,42,793,560.0467920355353,17084823.097693972,1223622965.2288177,2
0003ML0000000260100046E01_DRCL.JPG,47746,12112,2942,1163,631,334,348,111,68,41,2471,1077.9397497864743,14953369.138200097,3961341914.92914,2
0003ML0000000260100046I01_DRCL.JPG,58218,4504,1365,421,114,59,138,148,185,43,1297,622.1742744649752,16716313.738424044,1375716776.8657231,2
0003ML0000000270100047E01_DRCL.JPG,42812,15653,3931,1438,667,388,291,150,91,48,2751,1221.1421481984112,14774828.43644366,4610005352.449251,2
0003ML0000000270100047I01_DRCL.JPG,56770,6215,1265,279,73,117,93,157,146,64,1306,663.9142452362615,16465500.932228254,1501513195.959927,2
0003ML0000000280100048E01_DRCL.JPG,42047,16004,4252,1469,644,411,299,193,92,55,2631,1305.9539937516524,14250896.470438495,5081743728.663612,2
0003ML0000000280100048I01_DRCL.JPG,57335,5987,955,243,89,74,97,165,178,60,930,700.6575479672479,16335100.726701152,1607580199.8924909,2
0003ML0000000290100049E01_DRCL.JPG,39272,17981,4874,1510,724,343,382,184,103,69,2743,1377.0198347116068,14793514.85341151,5445919148.726151,2
0003ML0000000290100049I01_DRCL.JPG,56358,6906,1050,235,66,63,122,157,166,35,982,709.1173635269723,16700058.274248296,1643107495.3666153,2
0003ML0000000300100050I01_DRCL.JPG,54226,8695,1281,322,68,68,105,159,111,122,1012,751.7366536840419,17583609.719980262,1708884353.8818874,2
0003ML0000000400100060E01_DRCL.JPG,13575,19315,13239,7904,4509,2525,1609,1057,695,440,10495,3113.483244375635,12447741.351470768,15901879909.768469,1
0003ML0000000400100060I01_DRCL.JPG,37309,19833,5160,1431,550,288,248,206,123,98,3498,1058.4704996192434,14478314.373389542,3018452425.0036664,2
0003ML0000000410100061E01_DRCL.JPG,11082,18705,14047,8642,4981,2928,1906,1147,763,479,12005,3320.733633445658,12465957.895936191,17153848789.67148,1
0003ML0000000410100061I01_DRCL.JPG,33598,22327,5923,1733,682,344,299,165,78,74,4089,1102.5412728517133,14255281.144653004,3187638021.929112,2
0003ML0000000420100062E01_DRCL.JPG,9875,18406,14767,9066,5304,2925,1903,1160,817,497,11853,3356.663294057508,12251713.664635718,17348504898.124313,1
0003ML0000000420100062I01_DRCL.JPG,34010,22076,5778,1748,649,381,239,196,102,66,4017,1122.338401151207,14174256.68968197,3293796450.484607,2
0003ML0000000430100063E01_DRCL.JPG,10304,18443,14447,8800,5278,3070,1882,1207,749,507,12202,3372.51667849046,13133412.412099764,17179399118.588375,1
0003ML0000000430100063I01_DRCL.JPG,32787,22654,6042,1866,803,444,259,193,117,93,4589,1154.613314431233,14368682.522050656,3281222721.3247933,2
0003ML0000000440100064E01_DRCL.JPG,12301,18822,13310,8189,4759,2933,1890,1170,793,535,11238,3294.321039365428,13944509.940450758,16683965959.872698,1
0003ML0000000440100064I01_DRCL.JPG,33489,21482,6466,1984,783,337,235,213,152,72,4922,1144.7483764006402,15383759.93335379,3251152354.527676,2
0003ML0000000450100065E01_DRCL.JPG,13429,19599,12983,7326,4281,2659,1849,1195,765,528,10330,3201.4173353076267,13039388.98835376,16123783311.782276,1
0003ML0000000450100065I01_DRCL.JPG,35853,20046,5654,1806,777,401,279,205,120,91,4522,1114.341960289829,14805528.542237736,3179828020.4727936,2
0003ML0000000460100066E01_DRCL.JPG,16495,20624,13097,6565,3419,1876,1195,840,515,346,7992,2782.8558402470685,13048622.415535672,13759875218.18271,1
0003ML0000000460100066I01_DRCL.JPG,40311,18470,3951,1163,457,282,203,164,129,103,2951,1022.1157601426293,15176947.308049358,2862695743.8501062,2
0003ML0000000470100067E01_DRCL.JPG,15008,21365,13662,6833,3537,1996,1190,788,468,292,8692,2700.479577764258,12690553.51368974,12954093391.699911,1
0003ML0000000470100067I01_DRCL.JPG,39383,19279,4104,1119,465,243,207,184,133,66,2949,1041.868865688389,14987978.481229687,2825823928.407576,2
0003ML0000000480100068E01_DRCL.JPG,16891,22531,12976,6009,3036,1506,1030,622,367,224,7240,2489.369169334909,13147084.91867642,11754494860.606363,1
0003ML0000000480100068I01_DRCL.JPG,42406,17277,3336,1055,397,180,192,168,129,64,2535,986.744876119228,15513051.189076342,2625951438.935257,2
0003ML0000000490100069E01_DRCL.JPG,21372,24368,10981,4285,1857,1017,638,391,233,173,4848,2107.258684579139,13492124.235175706,9601416231.892857,1
